,Name,Year,Year1Csh,Year2Csh,Year3Csh,Year4Csh,Year5Csh,Year6Csh,Year7Csh,Year8Csh,Year9Csh,Year10Csh
39,Christian Kirksey,2022,5000000,5000000,0,0,0,0,0,0,0,0
40,Chukwuma Okorafor,2022,10500000,10000000,8750000,0,0,0,0,0,0,0
41,Colt McCoy,2022,3750000,3750000,0,0,0,0,0,0,0,0
42,Connor Williams,2022,7035000,7000000,0,0,0,0,0,0,0,0
43,Cooper Kupp,2022,40250000,20000000,19850000,0,0,0,0,0,0,0
44,Cordarrelle Patterson,2022,6250000,4250000,0,0,0,0,0,0,0,0
45,Cornelius Lucas,2022,3650000,2850000,0,0,0,0,0,0,0,0
46,D.J. Jones,2022,10000000,10000000,10000000,0,0,0,0,0,0,0
47,D.J. Reed,2022,11000000,11000000,11000000,0,0,0,0,0,0,0
48,Damien Wilson,2022,3290000,3610000,0,0,0,0,0,0,0,0
49,DaQuan Jones,2022,7250000,6750000,0,0,0,0,0,0,0,0
50,Darious Williams,2022,8000000,12000000,10000000,0,0,0,0,0,0,0
51,Davante Adams,2022,23350000,26640000,17500000,36250000,36250000,0,0,0,0,0
52,David Njoku,2022,12500000,12500000,14500000,15250000,0,0,0,0,0,0
53,De'Vondre Campbell,2022,16250000,5250000,10750000,8875000,8875000,0,0,0,0,0
54,Demarcus Lawrence,2022,15000000,15000000,10000000,0,0,0,0,0,0,0
55,Denzel Ward,2022,30000000,15924000,14076000,20000000,20500000,0,0,0,0,0
56,Derek Barnett,2022,5500000,8500000,0,0,0,0,0,0,0,0
57,Derek Carr,2022,38122481,42000000,41300000,0,0,0,0,0,0,0
58,Deshaun Watson,2022,46000000,46000000,46000000,46000000,46000000,0,0,0,0,0
59,Desmond King,2022,3500000,3500000,0,0,0,0,0,0,0,0
60,Donte Jackson,2022,13935000,10622500,10622500,0,0,0,0,0,0,0
61,Durham Smythe,2022,3500000,3500000,0,0,0,0,0,0,0,0
62,Dustin Hopkins,2022,3520000,2417500,3062500,0,0,0,0,0,0,0
63,Emmanuel Ogbah,2022,17350000,15350000,15800000,16900000,0,0,0,0,0,0
64,Eric Murray,2022,4000000,4000000,0,0,0,0,0,0,0,0
65,Folorunso Fatukasi,2022,12500000,9500000,8000000,0,0,0,0,0,0,0
66,Foyesade Oluokun,2022,15000000,15000000,15000000,0,0,0,0,0,0,0
67,Frankie Luvu,2022,5000000,4000000,0,0,0,0,0,0,0,0
68,George Odum,2022,3035000,1440000,1225000,0,0,0,0,0,0,0
69,Gerald Everett,2022,6500000,5500000,0,0,0,0,0,0,0,0
70,Grady Jarrett,2022,17000000,16250000,16250000,0,0,0,0,0,0,0
71,Graham Glasgow,2022,3100000,11000000,0,0,0,0,0,0,0,0
72,Gunner Olszewski,2022,2200000,2000000,0,0,0,0,0,0,0,0
