"","onep","twop","threep","fourp","fivep","sixp","player","Position","Years","Draft Round","Orig Team","Age At Sign","perc_GTD","Total","APY","Effective Length","contract_type","total_PB","one_year","last_PB","second_last_PB"
"60",99.99,77.44,52.33,0,0,0,"Donte Jackson","CB",3,"2","1","26",0.476335986,35180000,11726667,0,"Extension",1.1e+07,3666666.667,3666666,7333332
"61",99.99,68.62,0,0,0,0,"Durham Smythe","TE",2,"4","1","27",0.5,7e+06,3500000,0,"Extension",1500000,750000,750000,1500000
"62",99.99,58.89,27.92,0,0,0,"Dustin Hopkins","K",3,"6","1","31",0.516666667,9e+06,3e+06,0,"Extension",2400000,8e+05,8e+05,1600000
"63",99.99,91.35,57.77,19.14,0,0,"Emmanuel Ogbah","EDGE",4,"2","1","28",0.550458716,65400000,16350000,0,"Extension",8e+06,2e+06,2e+06,4e+06
"64",99.99,57.17,0,0,0,0,"Eric Murray","S",2,"4","1","28",0.46875,8e+06,4e+06,0,"Extension",2750000,1375000,625000,2750000
"65",99.99,81.58,56.18,0,0,0,"Folorunso Fatukasi","DT",3,"6","0","27",0.666666667,3e+07,1e+07,0,"UFA",1e+07,3333333.333,3333333,6666666
"66",99.99,85.02,58.22,0,0,0,"Foyesade Oluokun","LB",3,"6","0","27",0.622222222,4.5e+07,1.5e+07,0,"UFA",12500000,4166666.667,4166666,8333332
"67",99.99,69.57,0,0,0,0,"Frankie Luvu","EDGE",2,"8","1","25",0.5,9e+06,4500000,0,"Extension",3e+06,1500000,1500000,3e+06
"68",99.99,77.89,52.26,0,0,0,"George Odum","S",3,"8","0","28",0.649122807,5700000,1900000,0,"UFA",2e+06,666666.6667,1200000,1600000
"69",99.99,85,0,0,0,0,"Gerald Everett","TE",2,"2","0","28",0.666666667,1.2e+07,6e+06,0,"UFA",5e+06,2500000,2500000,5e+06
"70",99.99,83.48,45.51,0,0,0,"Grady Jarrett","DT",3,"5","1","29",0.736779556,49500000,16500000,0,"Extension",24666000,8222000,4125000,8250000
"71",99.99,52.99,0,0,0,0,"Graham Glasgow","RG",2,"3","1","30",0.219858156,14100000,7050000,0,"Extension",6e+06,3e+06,3e+06,6e+06
"72",99.99,72.79,0,0,0,0,"Gunner Olszewski","WR",2,"8","0","25",0.294047619,4200000,2100000,0,"UFA",1235000,617500,617500,1235000
"73",99.99,99.18,96.04,0,0,0,"Haason Reddick","EDGE",3,"1","0","27",0.666666667,4.5e+07,1.5e+07,0,"UFA",27885000,9295000,19465000,25042000
"74",99.99,98.98,89.11,66.55,13.86,0,"Harold Landry","EDGE",5,"2","1","26",0.6,87500000,17500000,0,"Extension",1.9e+07,3800000,3800000,7600000
"75",99.99,79.88,69.53,0,0,0,"Harrison Phillips","DT",3,"3","0","26",0.661538462,19500000,6500000,0,"UFA",7e+06,2333333.333,2333334,4666666
"76",99.99,68.73,0,0,0,0,"Hunter Renfrow","WR",2,"5","1","26",0.662460568,31700000,15850000,0,"Extension",315948,157974,5508000,7344000
"77",99.99,68.16,41.14,0,0,0,"Ian Thomas","TE",3,"4","1","26",0.471976401,16950000,5650000,0,"Extension",5e+06,1666666.667,1666666,3333332
"78",99.99,79.92,0,0,0,0,"Isaiah McKenzie","WR",2,"5","1","27",0.284090909,4400000,2200000,0,"Extension",6e+05,3e+05,3e+05,6e+05
"79",99.99,99.57,96.5,34.89,5.34,0,"J.C. Jackson","CB",5,"8","0","26",0.484848485,82500000,16500000,0,"UFA",2.5e+07,5e+06,5e+06,1e+07
"80",99.99,70.51,0,0,0,0,"J.D. McKissic","WR",2,"8","0","29",0.520714286,7e+06,3500000,0,"Extension",2500000,1250000,2e+06,2500000
"81",99.99,77.49,65.18,0,0,0,"Jacob Martin","EDGE",3,"6","0","26",0.444444444,13500000,4500000,0,"UFA",3965000,1321666.667,1115000,2230000
"82",99.99,96.75,82.57,38.17,0,0,"Jaire Alexander","CB",4,"1","1","25",0.357142857,8.4e+07,2.1e+07,0,"Extension",6844168,1711042,6e+06,1.2e+07
"83",99.99,65.14,39.2,0,0,0,"Jake Matthews","LT",3,"1","1","30",0.757816631,55500000,18500000,0,"Extension",32089200,10696400,2500000,5e+06
"84",99.99,61.97,32.6,0,0,0,"Jakeem Grant","WR",3,"6","0","29",0.3035,1e+07,3333333,0,"UFA",2e+06,666666.6667,1e+06,2e+06
"85",99.99,63.06,0,0,0,0,"Jalen Reeves-Maybin","LB",2,"4","0","27",0.666666667,7500000,3750000,0,"UFA",1500000,750000,8e+05,1600000
"86",99.99,71.65,0,0,0,0,"Jameis Winston","QB",2,"1","1","28",0.75,2.8e+07,1.4e+07,0,"Extension",1.4e+07,7e+06,11200000,1.4e+07
"87",99.99,67.89,30.76,0,0,0,"James Conner","RB",3,"3","1","27",0.642857143,2.1e+07,7e+06,0,"Extension",6e+06,2e+06,2e+06,4e+06
"88",99.99,81.9,72.96,0,0,0,"James Daniels","RG",3,"2","0","25",0.330188679,26500000,8833333,0,"UFA",8750000,2916666.667,2916668,5833336
"89",99.99,46.8,0,0,0,0,"James White","RB",2,"4","1","30",0.1,5e+06,2500000,0,"Extension",0,0,0,0
"90",99.99,68.08,0,0,0,0,"Jason Cabinda","FB",2,"8","1","26",0.496341463,4100000,2050000,0,"Extension",1e+06,5e+05,5e+05,1e+06
"91",99.99,69.7,0,0,0,0,"Jayron Kearse","S",2,"7","1","28",0.5,1e+07,5e+06,0,"Extension",3500000,1750000,1750000,3500000
"92",99.99,65.27,0,0,0,0,"Jerry Hughes","EDGE",2,"1","0","34",0.55,1e+07,5e+06,0,"UFA",NA,NA,1250000,2500000
"93",99.99,74.96,0,0,0,0,"Joey Slye","K",2,"8","0","26",0.476190476,4200000,2100000,0,"Extension",1e+06,5e+05,250000,5e+05
